"wallet_address","token_address","gross_profit","realized_profit","realized_profit_percent","unrealized_profit","unrealized_profit_percent","win_rate","wins","losses","trade_volume","trades","avg_trade_size","is_bot"
"5hr44CfEg9vtuE3qZ226mKfuGozqoqqjUw8dHeh3A94X",bax9m9a5fvy5cniewwnuwkvdzhsg9psznb4fj9r677tn,1068829.00,-815.08,-0.48,-30216.00,-17.91,22.73,5,17,1300000.00,3200,401.00,1
"5ifodgpz6MsajFfjTt68GbCL1n4mUEbGZ8uedHD3L7Xu",gdfcd7l8x1giudfz1wthnheb352k3ni37rswtjgmglpt,13459.00,374.95,0.19,-154.23,-0.08,26.32,5,14,401000.00,2400,170.00,0
"5jUkscVLvXv6MvaEEvkqUUB1dGytyoXvvQ6nD2c9vucx",bnefthhpo6ec7jaqaav4w7ugunfuixrw5vazt6hytm82,9184.60,104.94,2.26,2.84,0.06,33.33,1,2,18000.00,12,1500.00,0
"5k4EP5VAdjycjCZqkAr4NjuTKRH6bCJtawK7rZhmG2nb",gnyxamygf1iivijdpqkegifxbtmfxmd46bgfnh3xh9rj,5996.00,-1793.10,-15.89,0.00,0.00,10.00,1,9,28000.00,48,584.00,0
"5KBBWAsMSBJW1Un2Y2npxXRHVXrK6Anc9mG76AxSnhDL",fkfrk3wdagxokysr1fpggcdeegkv1b1yynx9ykvpg3jg,17813.00,16822.00,953.87,5487.10,311.13,50.00,1,1,21000.00,11,1900.00,0
"5Khet2ZH1LZaF8wdkbeABgsfqF1oddjfFkd6NnziKF5p","9fvcekjnhwrdrfqi9vqcum3jxmdjrgmfmsdo4vhy3h72",11191.00,4351.40,5.93,-1159.60,-1.58,50.00,3,3,156000.00,119,1300.00,0
"5n7bbwMUHvRoGV4yGNCJGg5LrEovhA1AcDE68BVM2Sos","7vbqtbxevphssw3iuebvczrqo322jnjujun6scdcxr6t",5477.50,1323.00,16.83,0.00,0.00,100.00,1,0,21000.00,74,286.00,0
"5nDbhyc2K5uJX5kfpXTvdKy2WkuXfnhWrDf2vVK3TnV3","7vbqtbxevphssw3iuebvczrqo322jnjujun6scdcxr6t",5228.30,1386.70,20.14,0.00,0.00,100.00,1,0,19000.00,80,237.00,0
"5ohnYB5v5fGDFLh2JoGwiN1twjvJ5RGT7qHc3Wxk8fs5","69zvrff9k7c9dsrtouisoekc7g5lm1gz4mokgrjghsjv",62115.00,0.00,0.00,0.00,0.00,0.00,,0,67000.00,17,4000.00,0
"5owZXjEe27wZTRevqRUETwia3EctJiaYtKhpqmPzWHuj",jtoazecroxgrzrynhnfnp5n1bnwytltceq57zmbpc6r,344292.00,49530.00,15.00,0.00,0.00,38.20,34,55,1000000.00,1800,561.00,0
"5pmSQJkQiMKp9cwj77bQHau1S94RDrgQziRMDA2HjJwe","8n5vs5asyqxrkvl73k9m6hvtkzwmeubsdkzql2mbddy4",52831.00,259.80,209.61,0.00,0.00,100.00,1,0,53000.00,75,708.00,0
"5QCvNDgFWVBhNN7o4gXbAcTZueSXMQJL3RuofgW39VJm",fiovvnhbghitj5ozudrdzm4ci5reeugua9ds3cvaxsdd,895788.00,-19290.00,-2.07,-39472.00,-4.23,31.46,67,146,2300000.00,858,2600.00,0
"5QomcekVBMsBDGBtFiufXmmPshF7ackFmuRVqEYzcKMk","5jn7rnf7cdzcwsgqjmnszuux7gsrpwfjkkjhejhkgijc",27901.00,0.00,0.00,0.00,0.00,0.00,0,0,28000.00,8,3500.00,0
